Date,Time,Type,Name,Category,Amount,,Currency,Local amount,Local currency,Notes and #tags,Description,Money Out,Money In
25-05-2022,12:59:31,Faster payment,F Qazi,Transfers,10,10,GBP,10,GBP,Monzo-YQPSK,Monzo-YQPSK,,10
30-05-2022,21:21:46,Faster payment,F Qazi,Transfers,100,,GBP,100,GBP,F Qazi,F Qazi,,100
30-05-2022,21:24:46,Faster payment,Farhaan Qazi,Myself,-110,,GBP,-110,GBP,Farhaan Qazi,Farhaan Qazi,-110,
01-06-2022,20:22:05,Faster payment,F Qazi,Transfers,1,,GBP,1,GBP,Monzo-WNZDP,Monzo-WNZDP,,1
06-06-2022,08:19:17,Faster payment,F Qazi,Transfers,10,,GBP,10,GBP,Monzo-QKBRP,Monzo-QKBRP,,10
06-06-2022,08:22:33,Faster payment,F Qazi,Transfers,100,,GBP,100,GBP,Savings,Savings,,100
06-06-2022,09:31:11,Pot transfer,Insurance  Pot,Transfers,-2,,GBP,-2,GBP,,,-2,
06-06-2022,09:31:53,Pot transfer,Insurance  Pot,Transfers,2,,GBP,2,GBP,,,,2
08-06-2022,09:41:37,Pot transfer,Insurance  Pot,Transfers,-2,,GBP,-2,GBP,,,-2,
09-06-2022,03:16:50,Pot transfer,Insurance  Pot,Transfers,-2,,GBP,-2,GBP,,,-2,
09-06-2022,23:43:06,Faster payment,F Qazi,Transfers,97,,GBP,97,GBP,SAVINGS,SAVINGS,,97
10-06-2022,03:55:34,Pot transfer,Insurance  Pot,Transfers,-2,,GBP,-2,GBP,,,-2,
11-06-2022,03:20:46,Pot transfer,Insurance  Pot,Transfers,-2,,GBP,-2,GBP,,,-2,
12-06-2022,03:08:16,Pot transfer,Insurance  Pot,Transfers,-2,,GBP,-2,GBP,,,-2,
13-06-2022,03:25:33,Pot transfer,Insurance  Pot,Transfers,-2,,GBP,-2,GBP,,,-2,
14-06-2022,03:15:37,Pot transfer,Insurance  Pot,Transfers,-2,,GBP,-2,GBP,,,-2,
15-06-2022,03:36:09,Pot transfer,Insurance  Pot,Transfers,-2,,GBP,-2,GBP,,,-2,
16-06-2022,03:32:36,Pot transfer,Insurance  Pot,Transfers,-2,,GBP,-2,GBP,,,-2,
16-06-2022,23:32:04,Faster payment,F Qazi,Transfers,151,,GBP,151,GBP,SAVINGS,SAVINGS,,151
17-06-2022,03:47:10,Pot transfer,Insurance  Pot,Transfers,-2,,GBP,-2,GBP,,,-2,
18-06-2022,03:18:57,Pot transfer,Insurance  Pot,Transfers,-2,,GBP,-2,GBP,,,-2,
19-06-2022,03:12:44,Pot transfer,Insurance  Pot,Transfers,-2,,GBP,-2,GBP,,,-2,
20-06-2022,01:59:59,Pot transfer,Insurance  Pot,Transfers,-2,,GBP,-2,GBP,,,-2,
21-06-2022,02:01:02,Pot transfer,Insurance  Pot,Transfers,-2,,GBP,-2,GBP,,,-2,
22-06-2022,01:59:05,Pot transfer,Insurance  Pot,Transfers,-2,,GBP,-2,GBP,,,-2,
23-06-2022,01:59:06,Pot transfer,Insurance  Pot,Transfers,-2,,GBP,-2,GBP,,,-2,
24-06-2022,02:01:46,Pot transfer,Insurance  Pot,Transfers,-2,,GBP,-2,GBP,,,-2,
25-06-2022,02:00:30,Pot transfer,Insurance  Pot,Transfers,-2,,GBP,-2,GBP,,,-2,
26-06-2022,02:01:33,Pot transfer,Insurance  Pot,Transfers,-2,,GBP,-2,GBP,,,-2,
27-06-2022,02:00:05,Pot transfer,Insurance  Pot,Transfers,-2,,GBP,-2,GBP,,,-2,
28-06-2022,02:04:40,Pot transfer,Insurance  Pot,Transfers,-2,,GBP,-2,GBP,,,-2,
28-06-2022,14:32:05,Card payment,McDonald’s,Eating out,-9.56,,GBP,-9.56,GBP,,MCDONALDS              EDINBURGH     GBR,-9.56,
28-06-2022,21:19:49,Card payment,Sainsbury’s,Groceries,-4.05,,GBP,-4.05,GBP,,SAINSBURYS EDINBURGH-N EDINBURGH     GBR,-4.05,
28-06-2022,21:28:00,Card payment,Abdul Halal Market,Groceries,-2.49,,GBP,-2.49,GBP,,ABDUL HALAL MARKET     EDINBURGH     GBR,-2.49,
29-06-2022,00:36:13,Card payment,Deliveroo,Eating out,-18.98,,GBP,-18.98,GBP,,DELIVEROO              +442036999977 GBR,-18.98,
